GBT-4o(vienkāršs): ;GBT-4o(sarežģīts):;Cloud3.5 Sonnet(vienkāršs);Cloud3.5 Sonnet(sarežģīts);DeepseeV3(vienkāršs);DeepseeV3(sarežģīts);Gemini2.0 Flash(vienkāršs);Gemini2.0 Flash(sarežģīts);Tēma
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;Datoru_drošība
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Datoru_drošība
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Datoru_drošība
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Datoru_drošība
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Konceptuālā fizika
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;Konceptuālā fizika
FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Konceptuālā fizika
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Konceptuālā fizika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Konceptuālā fizika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Ekonometrija
TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;Ekonometrija
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Ekonometrija
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Ekonometrija
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Ekonometrija
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Elektrotehnika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Elektrotehnika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Elektrotehnika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Elektrotehnika
TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Elektrotehnika
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Eiropas vēstures vidusskola
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Eiropas vēstures vidusskola
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Eiropas vēstures vidusskola
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;Eiropas vēstures vidusskola
FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;Eiropas vēstures vidusskola
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Globāli fakti
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Globāli fakti
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;Globāli fakti
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;Globāli fakti
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Globāli fakti
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Formālā loģika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Formālā loģika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Formālā loģika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Formālā loģika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Formālā loģika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas pārvalde un politika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Vidusskolas pārvalde un politika
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Vidusskolas pārvalde un politika
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Vidusskolas pārvalde un politika
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Vidusskolas pārvalde un politika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Mārketings
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;Mārketings
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Mārketings
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Mārketings
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Mārketings
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Medicīniskā ģenētika
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;Medicīniskā ģenētika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Medicīniskā ģenētika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Medicīniskā ģenētika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Medicīniskā ģenētika
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Dažādi
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Dažādi
