question;A;B;C;D;answer;model_answer;is_correct
1. SHA-1 ziņojuma kopsavilkums ir;160 biti,;512 biti,;628 biti,;820 biti.;A;A;TRUE
"2. ""_____________ var modificēt datus jūsu sistēmā — tā, lai jūsu sistēma nedarbotos pareizi vai jūs vairs nevarētu piekļūt konkrētiem datiem, vai arī tā var pat pieprasīt izpirkuma maksu, lai piešķirtu jums piekļuvi."",";Trojans,;Backdoor Trojans;Trojan-Downloader;Ransom Trojan;D;D;TRUE
3. Heartbleed kļūdas izmantošana ļauj pārrakstīt;Kriptogrāfiskās atslēgas atmiņā,;Veikt sava veida koda injekciju,;Lasīt ārpus bufera robežām,;Izmantot formāta virknes uzbrukumu.;C;C;TRUE
4. Tas ____________ ir jebkas, ko jūsu meklētājprogramma nevar meklēt.;Spoku tīmeklis;Vispasaules tīmeklis;Virszemes tīmeklis;Dziļais tīmeklis;D;D;TRUE
"1. ""Salīdzinot ar urāna atoma masu, kas notiek dalīšanās procesā, produktu kopējās masas pēc dalīšanās ir";Mazāk;Vairāk;Vienāda;Nulle;A;A;TRUE
2. Saskaņā ar ekvivalences principu līdzvērtīgas lietas ir;Telpa un laiks;Ceļojošs dvīnis;Mājās paliekošs dvīnis;Gravitācija un paātrinājums;C;C;TRUE
3. Ziepju burbuļa krāsas rodas gaismas ietekmē, pārveidojot tās citā;Frekvencē;Novirze;Interference;Polarizācija;C;C;TRUE
4. Lidmašīnas modelis lido lēnāk, lidojot pret vēju, un ātrāk, ja vējš tam pūš aizmugurē. Palaižot to perpendikulāri vējam sānvējā, tā ātrums attiecībā pret zemi, salīdzinot ar lidošanu mierīgā gaisā, ir:;Vienāds;Lielāks;Mazāks;Vai nu lielāks, vai mazāks atkarībā no vēja ātruma;B;B;TRUE
5. Kuram no šiem trim elementiem ir vislielākā masa uz vienu nukleonu?;Ūdeņradis;Dzelzs;Urāns;Tas pats katrā;A;A;TRUE
"1. ""Stacionāram autoregresīvam procesam triecieni""";Galu galā izzudīs;Pastāvēs bezgalīgi;Pieaugs eksponenciāli;Nekad neradīsies;A;A;TRUE
"2. ""Apsveriet šādu AR(1) modeli, kurā traucējumiem ir nulles vidējā vērtība un vienības dispersija: yt = 0,2 + 0,4 yt-1 + ut. Y (beznosacījuma) vidējā vērtība tiks dota ar";0;2;0;4;D;D;TRUE
"3. ""Pieņemsim, ka testa statistikai ir piesaistīta p-vērtība 0,08. Kurš no šiem apgalvojumiem ir patiess?";(b) un (d);(a) un (c);(a), (b) un (c);(a), (b), (c) un (d);C;C;TRUE
4. Kādas tad būtu sekas OLS novērtētājam, ja regresijas modelī ir heteroskedastiskums, bet tas tiek ignorēts?;Tas būs neobjektīvs;Tas būs nekonsekvents;Tas būs neefektīvs;Visi (a), (b) un (c) būs patiesi;C;C;TRUE
"5. ""Pieņemsim, ka pētnieks vēlas izmantot informācijas kritērijus, lai noteiktu optimālo VAR nobīdes ilgumu. Divdimensiju VAR ir pieejami 500 novērojumi, un atlikumu dispersijas-kovariācijas matricas determinanta vērtības ir 0,0336, 0,0169, 0,0084 un 0,0062 attiecīgi 1, 2, 3 un 4 nobīdēm. Kāda ir optimālā modeļa kārta saskaņā ar Akaikes informācijas kritēriju?";1 nobīde;2 nobīdes;3 nobīdes;4 nobīdes.;C;C;TRUE
1. SR aizbīdnī, kas veidots no NOR vārtiem, šis nosacījums nav pieļaujams.;S=0, R=0,;S=0, R=1,;S=1, R=0,;S=1, R=1.;D;D;TRUE
2. Divpolu līdzstrāvas mašīnā ar apļveida tinumu viena vadītāja pretestība ir 2Ω, un kopējais vadītāju skaits ir 100. Aprēķiniet kopējo pretestību;200Ω;100Ω;50Ω;10Ω;C;C;TRUE
3. Kustīgas spoles skaitītāja spolei ir 100 vijumi, tā ir 40 mm gara un 30 mm plata. Vadības griezes moments ir 240*10-6 N-m pilnā skalā. Ja magnētiskās plūsmas blīvums ir 1 Wb/m2, skaitītāja diapazons ir;1 mA;2 mA;3 mA;4 mA;B;B;TRUE
4. Divi gari paralēli vadītāji vada 100 A. Ja vadītāji atrodas 20 mm attālumā viens no otra, spēks uz katra vadītāja garuma metru būs;100 N;0,1 N;1 N;0,01 N;B;B;TRUE
5. Stieņa staba stiprums ir 4π * 10^-4 vēbera. Spēks ņūtonos uz stieņa staba, kura stiprums ir 4π * 1,5 * 10^-4 vēbera un kas novietots 10 cm attālumā no tā, būs;15 N;20 N;7,5 N;3,75 N;A;A;TRUE
"1. Pirmais jautājums attiecas uz sekojošo informāciju. (Šis fragments ir no brošūras) Lūdzu, atcerieties, ka es vienmēr esmu dedzīgi atbalstījis katra cilvēka tiesības uz savu viedokli, lai cik atšķirīgs tas būtu no manējā. Tas, kurš liedz citam šīs tiesības, padara sevi par sava pašreizējā viedokļa vergu, jo viņš liedz sev tiesības to mainīt. Visbriesmīgākais ierocis pret jebkāda veida kļūdām ir saprāts. Es nekad neesmu izmantojis nevienu citu, un es ceru, ka nekad to nedarīšu. Apstāklis, kas tagad ir noticis Francijā, kad ir pilnībā atcelta visa nacionālā priesterības kārtība un viss, kas attiecas uz piespiedu reliģijas sistēmām un piespiedu ticības priekšmetiem, ir ne tikai pamudinājis manu nodomu, bet arī padarījis šāda veida darbu ārkārtīgi nepieciešamu, lai vispārējā māņticības, viltus valdības sistēmu un viltus teoloģijas sagrāvē mēs nepazaudētu no redzesloka morāli, cilvēcību un patieso teoloģiju. Es ticu vienam Dievam un ne vairāk; un es ceru uz laimi pēc šīs dzīves. Es ticu cilvēku vienlīdzībai; un es ticu, ka... Reliģiskie pienākumi ir taisnīguma ievērošana, žēlsirdības mīlestība un centieni padarīt mūsu līdzcilvēkus laimīgus. Es neticu ticības apliecībai, ko sludina ebreju baznīca, Romas katoļu baznīca, grieķu baznīca, turku baznīca, protestantu baznīca, kā arī neviena cita baznīca, ko es pazīstu. Mans paša prāts ir mana paša baznīca. Visas nacionālās baznīcu institūcijas, neatkarīgi no tā, vai tās ir ebreju, kristiešu vai turku, man nešķiet nekas cits kā cilvēku izgudrojumi, kas radīti, lai iebiedētu un paverdzinātu cilvēci un monopolizētu varu un peļņu. Ar šo paziņojumu es nevēlos nosodīt tos, kas tic citādi; viņiem ir tādas pašas tiesības uz savu ticību kā man uz savu. (Tomass Peins, Saprāta laikmets, 1794–1795) Kurš no tālāk minētajiem apgaismības filozofiem izstrādāja valdības pārbaužu un līdzsvara sistēmu, lai izvairītos no varas ļaunprātīgas izmantošanas?";Žans Žaks Ruso;barons Monteskjē;Mērija Volstonkrafta;Ādams Smits;B;B;TRUE
"2. Otrais jautājums atteicās uz sekojošo informāciju. Izlasiet sekojošo fragmentu. Revolūcijas sēkla bija iekļuvusi katrā valstī un vairāk vai mazāk izplatījusies. Tā tika ievērojami attīstīta Bonaparta militārā despotisma režīma laikā. Viņa iekarojumi mainīja vairākus likumus, institūcijas un paražas; pārrāva svētas saites starp visām tautām, kas bija pietiekami stipras, lai pretotos laikam pašam; kas ir vairāk nekā var teikt par noteiktiem ieguvumiem, ko sniedza šie novatori. Monarhi pildīs pienākumus, ko tiem uzlicis Tas, kurš, uzticot tiem varu, ir uzdevis uzraudzīt taisnīguma un visu cilvēku tiesību ievērošanu, izvairīties no maldu takām un stingri iet patiesības ceļā. Novietoti ārpus kaislībām, kas satrauc sabiedrību, tieši pārbaudījumu dienās viņi tiek aicināti atbrīvoties no realitātes, parādot sevi tādus, kādi viņi ir, tēvus, kuriem piešķirta vara, kas pienākas ģimeņu galvām, lai pierādītu, ka sēru dienās viņi zina, kā būt taisnīgiem, gudriem un tāpēc spēcīgiem, un ka viņi neatstās tautu, kuru viņiem vajadzētu pārvaldīt, lai tā kļūtu par frakciju sporta veidu, maldiem un to sekām, kas nozīmē sabiedrības zaudējumu. Savienība starp monarhiem ir pamats politikai, kas tagad jāievēro, lai glābtu sabiedrību no pilnīgas sabrukuma. Lai viņi nejauc partijām piekāpšanās ar labo, ko viņiem vajadzētu darīt savas tautas labā, atbilstoši savām atzītajām vajadzībām mainot tādas pārvaldes nozares, kādas to prasa. Lai viņi ir taisnīgi, bet spēcīgi; labvēlīgi, bet stingri. Lai viņi saglabā reliģiskos principus visā to tīrībā un neļauj uzbrukt ticībai un interpretēt morāli saskaņā ar sociālo līgumu vai muļķīgu sektantu vīzijām. Lai viņi apspiež slepenās biedrības; šo sabiedrības gangrēnu. (Klemenss fon Meternichs, Politiskā ticības apliecība,1820. Gads) Kurš no tālāk minētajiem bija lielākais Meterniha iepriekšminētajā dokumentā pausto baiļu cēlonis?";Apgaismības laikmetā radītās personiskās brīvības un nacionālisma idejas izraisīja radikālas revolūcijas, kas varēja izplatīties visā Eiropā.;Napoleona iekarot Eiropu, radās jaunas frakcijas un mainīja spēku samēru Eiropā.;Monarhu vara bija pieaugusi tiktāl, ka to vajadzēja ierobežot citām varām katrā valstī, pretējā gadījumā radās civiliedzīvotāju dominēšana.;Jaunattīstības kapitālistiskās ekonomikas augošais un krītošais ekonomiskais cikls varēja izraisīt civiliedzīvotāju nemierus, kas jāapspiež.;A;A;TRUE
"3. Trešais jautājums attiecas uz sekojošo informāciju. Krievijā nekas labs nenotika, un [Suvarīns] bija izmisumā par saņemtajām ziņām. Visi viņa vecie biedri pievērsās politiķiem; slavenie nihilisti, kas lika Eiropai drebēt – ciema priesteru, zemākās vidusšķiras, tirgotāju dēli – nespēja pacelties pāri nacionālās atbrīvošanās idejai un, šķiet, ticēja, ka pasaule tiks glābta – kad viņi būs nogalinājuši savu despotu… ""Muļķības! Viņi nekad no tā neizkļūs ar savu muļķību."" Tad, vēl vairāk pazeminot balsi, dažos rūgtos vārdos viņš aprakstīja savu veco sapni par brālību. Viņš bija atteicies no sava ranga un bagātības; viņš bija devies pie strādniekiem tikai cerībā beidzot ieraudzīt jaunas kopīgas darba sabiedrības pamatus. Visi viņa kabatās esošie sū jau sen bija aizgājuši apmetnes dāmām; viņš bija bijis tikpat maigs kā brālis pret ogļraktājiem, smaidot par viņu aizdomām, iekarojot viņu sirdis ar savu kluso strādnieka izturēšanos un nepatiku pret pļāpāšanu. Bet noteikti saplūšana... nebija noticis. Viņa balss mainījās, acis iemirdzējās, viņš pievērsa tās Etjēnam, tieši uzrunājot viņu: ""Vai jūs to saprotat? Šie Marseļas cepurnieki, kas ir laimējuši lielo loterijas balvu simts tūkstošu franku apmērā, ir nekavējoties devušies prom un ieguldījuši to, paziņojot, ka dzīvos neko nedarot! Jā, tā ir jūsu ideja, jūs visi franču strādnieki; jūs vēlaties atrast dārgumu, lai pēc tam to vieni paši apritu kādā slinkā, savtīgā stūrītī. Jūs varat kliegt, cik vien vēlaties, pret bagātajiem, jums nav pietiekami daudz drosmes atdot nabadzīgajiem naudu, ko veiksme jums nes. Jūs nekad nebūsiet laimes cienīgi, kamēr jums kaut kas piederēs, un jūsu naids pret buržuāziem izriet tikai no dusmīgas vēlmes pašiem būt buržuāziem viņu vietā."" (Emīls Zolā, franču rakstnieks, Žermināls, 1885) Šajā fragmentā ir parādīta tieša rūpe par strādnieku šķiras labklājību, kas tipiski bija daļa no kuras kustības?";Kapitālists;Zinātnieks;Komunists;Eksistenciālists;C;C;TRUE
